epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,49.0954,2.04467,2.97879,2.26488,0.00744,2.37301,0.12391,0.05363,0.03331,0.01083,0.12528,0.05422,0.03375,0.01126,2.70442,3.74072,12.0003,0.01017,0,7e-05,7e-05,0.08607
2,79.5604,1.92983,2.58397,1.8681,0.00692,1.4346,0.08146,0.05449,0.01953,0.00598,0.08547,0.05521,0.02079,0.00631,2.8392,3.92415,5.92946,0.01114,0,0.000144428,0.000144428,0.0711444
3,98.284,1.8899,2.52167,1.8139,0.00699,1.59609,0.17537,0.07658,0.05652,0.0203,0.18732,0.08265,0.06367,0.02212,2.49202,3.41155,2.80021,0.00918,0,0.000216544,0.000216544,0.0562165
4,117.402,1.7552,2.27364,1.66348,0.00624,1.25673,0.70761,0.09914,0.08779,0.0385,0.72144,0.10068,0.08653,0.03597,2.03583,3.19501,2.17251,0.00679,0,0.000284643,0.000284643,0.0412846
5,131.966,1.76231,2.29942,1.69875,0.00631,1.17264,0.60553,0.21568,0.19944,0.10095,0.58742,0.22399,0.20459,0.1369,1.92844,2.48926,2.41118,0.00626,0,0.000347119,0.000347119,0.0263471
6,146.478,1.75019,2.27934,1.64673,0.00635,1.20781,0.48663,0.22755,0.19422,0.09638,0.50793,0.23906,0.20441,0.13623,1.94486,2.36337,1.91324,0.00625,0,0.000402511,0.000402511,0.0114025
7,160.632,1.73625,2.29249,1.68556,0.00619,1.25667,0.56444,0.20975,0.20621,0.09854,0.57101,0.22503,0.21744,0.13866,1.8841,2.40871,1.75302,0.00614,0,0.000432249,0.000432249,0.000432249
8,173.644,1.71005,2.23326,1.61702,0.00597,1.13866,0.6152,0.20326,0.20392,0.09033,0.57811,0.22164,0.22072,0.13235,1.89991,2.30434,1.65465,0.00614,0,0.000409365,0.000409365,0.000409365
9,186.811,1.70271,2.19876,1.60713,0.00619,1.25826,0.49271,0.18926,0.18064,0.08421,0.51569,0.19309,0.18892,0.10307,1.95065,2.33616,1.64563,0.0063,0,0.000383968,0.000383968,0.000383968
10,199.935,1.73254,2.24565,1.60542,0.0061,1.14893,0.47751,0.17931,0.17442,0.07783,0.50501,0.19252,0.18599,0.09594,1.94542,2.46262,1.68823,0.00648,0,0.000356459,0.000356459,0.000356459
11,218.44,2.11255,2.2942,2.26316,0.00697,1.15091,0.51266,0.21045,0.20149,0.08695,0.51356,0.21441,0.20807,0.12453,nan,nan,nan,nan,0,0.000327272,0.000327272,0.000327272
12,231.454,1.96621,2.05339,2.09188,0.00661,1.06965,0.55635,0.2198,0.20442,0.08678,0.56972,0.22986,0.21936,0.13044,2.0105,2.40989,1.8784,0.00659,0,0.000296866,0.000296866,0.000296866
13,244.075,1.93506,2.03554,2.00578,0.00657,0.97673,0.48971,0.2051,0.18915,0.08772,0.5177,0.21897,0.20612,0.11782,nan,nan,nan,nan,0,0.000265721,0.000265721,0.000265721
14,257.008,1.95969,2.05971,1.99862,0.00641,0.9639,0.51703,0.20315,0.19994,0.09319,0.53612,0.21381,0.21455,0.12226,1.91011,2.25952,1.67996,0.00624,0,0.000234329,0.000234329,0.000234329
15,269.766,1.96551,1.94767,1.98556,0.0059,0.94649,0.52121,0.23036,0.21386,0.10322,0.56947,0.24358,0.23402,0.14391,1.86384,2.28979,1.62233,0.00599,0,0.000203184,0.000203184,0.000203184
16,283.3,1.92713,1.93225,1.9625,0.00598,0.9623,0.58774,0.22129,0.21984,0.10673,0.65878,0.23218,0.23972,0.15188,1.85264,2.29081,1.61473,0.00594,0,0.000172778,0.000172778,0.000172778
