epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
12,224.432,2.00057,2.09179,2.10126,0.00655,1.10949,0.55711,0.22994,0.22518,0.11126,0.5577,0.23927,0.23647,0.14501,1.90681,2.34928,1.91942,0.00597,0,0.000296866,0.000296866,0.000296866
13,237.36,2.04291,2.12068,2.03835,0.0062,1.06996,0.5409,0.24605,0.22564,0.0987,0.57803,0.26319,0.24558,0.15943,1.95106,2.28068,1.81994,0.00622,0,0.000265721,0.000265721,0.000265721
14,250.114,2.00168,2.01831,2.03612,0.00636,1.07636,0.51986,0.23858,0.21755,0.089,0.55515,0.256,0.24099,0.15829,1.92801,2.24881,1.8155,0.00619,0,0.000234329,0.000234329,0.000234329
15,263.136,1.96362,1.97092,1.99293,0.00617,1.01943,0.52185,0.25615,0.23627,0.09616,0.55414,0.27314,0.25728,0.16404,nan,nan,nan,nan,0,0.000203184,0.000203184,0.000203184
16,275.784,1.93453,1.97711,1.94989,0.00623,1.03304,0.50052,0.24237,0.22458,0.10834,0.54889,0.25858,0.24643,0.15848,nan,nan,nan,nan,0,0.000172778,0.000172778,0.000172778
17,288.688,1.88518,1.93763,1.91907,0.00621,1.02709,0.57668,0.26656,0.24932,0.12667,0.61058,0.28026,0.27027,0.18077,1.88338,nan,nan,0.00586,0,0.000143591,0.000143591,0.000143591
18,302.397,1.90842,1.93014,1.91627,0.00594,0.99458,0.54722,0.27625,0.25672,0.13027,0.56833,0.28492,0.26683,0.1777,1.87782,2.21251,1.74429,0.00585,0,0.000116082,0.000116082,0.000116082
19,316.014,1.8916,1.93932,1.88881,0.00631,0.97996,0.5632,0.26828,0.25203,0.12926,0.59329,0.28105,0.26655,0.17433,1.87847,2.20318,1.7408,0.00583,0,9.06849e-05,9.06849e-05,9.06849e-05
20,328.794,1.91577,1.94783,1.87525,0.00598,0.93899,0.59872,0.26082,0.26214,0.1317,0.59399,0.28169,0.27378,0.17919,1.87251,nan,nan,0.00582,0,6.78011e-05,6.78011e-05,6.78011e-05
21,342.335,1.87734,1.90406,1.87192,0.00589,0.88898,0.59225,0.26412,0.26406,0.13189,0.60437,0.2827,0.27648,0.18285,1.86378,nan,nan,0.00577,0,4.7791e-05,4.7791e-05,4.7791e-05
22,356.034,1.90354,1.8885,1.87046,0.00577,0.99561,0.58052,0.26641,0.26253,0.12786,0.60541,0.28433,0.27698,0.18273,1.85177,nan,nan,0.00573,0,3.09702e-05,3.09702e-05,3.09702e-05
23,368.758,1.88123,1.88645,1.8858,0.00587,0.91449,0.5958,0.26551,0.26344,0.1295,0.58024,0.28534,0.27838,0.18331,1.84234,nan,nan,0.0057,0,1.76041e-05,1.76041e-05,1.76041e-05
24,381.493,1.86844,1.87668,1.89064,0.00588,0.98086,0.59649,0.26477,0.26428,0.13059,0.55755,0.29632,0.27981,0.18469,1.84046,nan,nan,0.00568,0,7.90342e-06,7.90342e-06,7.90342e-06
25,395.207,1.85234,1.85652,1.8934,0.00602,0.88468,0.51064,0.2829,0.26402,0.13087,0.55612,0.2923,0.2796,0.18474,1.84119,nan,nan,0.00569,0,2.02113e-06,2.02113e-06,2.02113e-06
