epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,49.4765,2.10881,3.01172,2.30816,0.00784,2.43967,0.0169,0.0111,0.00111,0.00053,0.01648,0.01067,0.00092,0.00062,3.01472,5.02871,5.10929,0.01221,0,7e-05,7e-05,0.08607
2,73.8622,1.9443,2.64465,1.99245,0.00697,1.59234,0.11978,0.047,0.02716,0.00865,0.13203,0.04908,0.03158,0.00993,2.96771,3.83602,4.35491,0.01108,0,0.000144428,0.000144428,0.0711444
3,92.9491,1.84364,2.50749,1.82056,0.00697,1.49499,0.1584,0.06211,0.04658,0.01596,0.17692,0.06849,0.05485,0.01863,2.62394,3.63469,2.72761,0.00943,0,0.000216544,0.000216544,0.0562165
4,111.238,1.76843,2.32743,1.69618,0.00659,1.48692,0.42912,0.13358,0.09896,0.03991,0.70323,0.09494,0.09732,0.03738,2.18068,3.16519,2.08487,0.00717,0,0.000284643,0.000284643,0.0412846
5,125.581,1.75163,2.3421,1.66339,0.00636,1.37591,0.61693,0.22919,0.2211,0.10039,0.60812,0.24317,0.23545,0.15119,1.98916,2.5902,1.88137,0.00636,0,0.000347119,0.000347119,0.0263471
6,139.596,1.78582,2.37805,1.66922,0.00637,1.4446,0.28865,0.17143,0.11037,0.04731,0.28644,0.18498,0.12032,0.06286,2.02481,2.49667,1.96993,0.00651,0,0.000402511,0.000402511,0.0114025
7,152.959,1.72152,2.28706,1.61059,0.00595,1.32491,0.4483,0.22487,0.19631,0.09786,0.46262,0.23448,0.21073,0.13313,1.89368,2.40293,1.82341,0.00592,0,0.000432249,0.000432249,0.000432249
8,166.464,1.7435,2.29579,1.60036,0.00597,1.30557,0.47433,0.24774,0.20363,0.09997,0.48094,0.25745,0.21588,0.12826,1.9436,2.41675,1.87407,0.0061,0,0.000409365,0.000409365,0.000409365
9,179.991,1.71814,2.2453,1.55607,0.00592,1.17105,0.46279,0.21857,0.19426,0.08667,0.46834,0.25083,0.22928,0.14237,1.90577,2.2968,1.78215,0.00612,0,0.000383968,0.000383968,0.000383968
10,193.403,1.74063,2.28246,1.56897,0.00586,1.31187,0.49885,0.25073,0.23466,0.10539,0.52575,0.26837,0.25406,0.16645,1.89171,2.36228,1.71781,0.00601,0,0.000356459,0.000356459,0.000356459
11,210.758,2.08872,2.35652,2.2475,0.00674,1.26187,0.57492,0.2374,0.23591,0.11763,0.60146,0.25096,0.25244,0.16041,1.90031,2.4191,1.77897,0.00589,0,0.000327272,0.000327272,0.000327272
