epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,60.9909,1.96162,2.71363,2.17245,0.00536,2.95925,0.26741,0.13529,0.07795,0.03213,0.26642,0.13694,0.07884,0.02965,1.87228,3.40243,2.66599,0.00863,0,0.000331532,0.000331532,0.0671784
2,113.055,1.88464,2.4579,1.78816,0.00518,2.20635,0.3631,0.15392,0.12281,0.05803,0.39075,0.16336,0.13867,0.06633,1.76948,2.75669,2.47201,0.00854,0,0.000664865,0.000664865,0.0341784
3,163.91,1.88817,2.4064,1.70014,0.00518,1.92032,0.40588,0.19189,0.15947,0.07722,0.44023,0.21033,0.18186,0.09247,1.86013,2.36016,2.42222,0.00877,0,0.000998198,0.000998198,0.00117838
4,214.607,1.90284,2.44236,1.71365,0.00523,2.0764,0.39713,0.1992,0.15797,0.07548,0.44696,0.21308,0.18221,0.09281,nan,nan,nan,nan,0,0.001,0.001,0.001
5,264.925,1.89076,2.37748,1.66611,0.00505,1.89745,0.3719,0.18788,0.15286,0.06802,0.41522,0.2065,0.17806,0.08933,1.87715,2.39123,2.59246,0.00891,0,0.001,0.001,0.001
6,315.485,1.89309,2.35259,1.64026,0.00509,1.86891,0.4512,0.20577,0.18494,0.09064,0.48113,0.21088,0.19774,0.10345,1.87196,2.29446,1.95675,0.00889,0,0.001,0.001,0.001
7,366.073,1.86893,2.34573,1.63686,0.00509,1.92504,0.52522,0.17802,0.17499,0.08275,0.55269,0.18733,0.19191,0.10301,1.85912,2.28918,2.05193,0.00885,0,0.001,0.001,0.001
8,416.146,1.87274,2.34451,1.62045,0.00511,1.85602,0.50735,0.18934,0.17661,0.08784,0.54453,0.20321,0.19973,0.10336,1.86678,2.40555,1.89658,0.00883,0,0.001,0.001,0.001
9,466.579,1.85663,2.31054,1.59284,0.00505,1.81829,0.50385,0.19682,0.19017,0.09366,0.52629,0.20559,0.20342,0.10145,1.829,2.19258,1.83642,0.0087,0,0.001,0.001,0.001
10,517.522,1.83164,2.30295,1.56052,0.00487,1.74017,0.5488,0.2012,0.1939,0.09902,0.55682,0.20687,0.20374,0.10868,1.73524,2.25948,1.76413,0.00819,0,0.001,0.001,0.001
11,568.386,1.84514,2.29479,1.56519,0.00487,1.73432,0.46257,0.23188,0.20439,0.10845,0.50152,0.24557,0.22679,0.12739,1.75397,2.14792,1.66267,0.00836,0,0.001,0.001,0.001
12,619.529,1.8438,2.31098,1.58823,0.00496,1.74034,0.49387,0.23297,0.2038,0.10633,0.52502,0.24703,0.22652,0.12714,1.74789,2.13533,1.827,0.00819,0,0.001,0.001,0.001
13,669.719,1.8201,2.26878,1.53969,0.00491,1.72466,0.52283,0.23024,0.21096,0.11132,0.54356,0.23936,0.22606,0.1253,1.71122,2.10684,1.5335,0.00788,0,0.001,0.001,0.001
14,720.223,1.80855,2.23557,1.52215,0.00479,1.64285,0.51676,0.22859,0.21532,0.11383,0.54254,0.23407,0.22968,0.12971,1.70907,2.05193,1.55434,0.0082,0,0.001,0.001,0.001
