epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,67.5045,1.93983,2.65015,2.12662,0.00538,2.79058,0.43201,0.17406,0.1486,0.07569,0.44112,0.19209,0.1612,0.08755,1.98816,2.7868,2.07648,0.00641,0,0.000331615,0.000331615,0.0671701
2,120.528,1.87692,2.43802,1.77104,0.00512,2.1765,0.69302,0.07414,0.06543,0.02403,0.69838,0.0754,0.06807,0.02255,2.15334,3.06548,2.30975,0.00735,0,0.000664948,0.000664948,0.0341701
3,172.226,1.89275,2.41639,1.76598,0.00529,2.10711,0.43206,0.17702,0.14646,0.05873,0.49918,0.16656,0.15352,0.07976,1.92228,2.69403,2.01943,0.00639,0,0.000998282,0.000998282,0.0011701
4,223.692,1.89266,2.43055,1.73261,0.00531,2.12669,0.40994,0.09563,0.08506,0.03461,0.41639,0.09787,0.08988,0.0342,2.0649,2.64974,2.25292,0.00702,0,0.001,0.001,0.001
5,275.28,1.88249,2.39445,1.69042,0.00533,1.95895,0.45616,0.18517,0.15659,0.06779,0.4809,0.19642,0.16621,0.0847,1.97635,2.63092,1.92008,0.0065,0,0.001,0.001,0.001
6,327.006,1.88711,2.39617,1.67208,0.00534,1.97518,0.37797,0.20247,0.16152,0.08428,0.38427,0.20649,0.16945,0.10231,1.92234,2.50904,1.85047,0.00623,0,0.001,0.001,0.001
7,379.415,1.87294,2.35573,1.63549,0.0052,1.85492,0.43636,0.20314,0.18113,0.0867,0.50943,0.21687,0.21285,0.11001,1.98981,2.38155,1.76219,0.00653,0,0.001,0.001,0.001
8,431.217,1.85086,2.31105,1.601,0.00506,1.84051,0.542,0.19769,0.17997,0.07622,0.54827,0.20894,0.20483,0.10557,1.95565,2.55396,1.86933,0.00651,0,0.001,0.001,0.001
9,483.134,1.85086,2.33848,1.60389,0.00518,1.83262,0.55115,0.23115,0.21871,0.10744,0.56714,0.2357,0.22579,0.13265,1.98258,2.52593,1.85403,0.00645,0,0.001,0.001,0.001
10,535.023,1.8364,2.31072,1.59357,0.00505,1.75727,0.50995,0.20696,0.18523,0.08404,0.52384,0.21346,0.1948,0.10749,1.93409,2.58274,2.14953,0.00624,0,0.001,0.001,0.001
