epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,58.3094,1.94761,2.63323,2.14049,0.00533,2.95619,0.41665,0.16028,0.14319,0.07098,0.43785,0.16609,0.1473,0.08727,2.02769,3.44,2.28703,0.00633,0,0.000331237,0.000331237,0.0672075
2,102.143,1.87145,2.42083,1.73183,0.00508,2.30498,0.43558,0.11414,0.12122,0.05258,0.45215,0.11643,0.1257,0.05923,2.13581,3.12507,2.38085,0.00703,0,0.00066457,0.00066457,0.0342075
3,144.743,1.90515,2.43793,1.71525,0.00516,2.11132,0.34964,0.17864,0.1276,0.05543,0.3595,0.18437,0.13464,0.0726,2.12665,2.79581,2.2104,0.00699,0,0.000997904,0.000997904,0.00120755
4,187.222,1.90891,2.4351,1.73407,0.00532,2.13396,0.37144,0.18704,0.15368,0.06368,0.44362,0.1968,0.17582,0.08354,2.04914,2.67754,2.24866,0.00646,0,0.001,0.001,0.001
5,229.636,1.87318,2.34305,1.62954,0.00518,1.9855,0.34425,0.17383,0.12361,0.04619,0.34539,0.17471,0.12758,0.04563,2.23517,3.00641,2.51907,0.00709,0,0.001,0.001,0.001
6,271.967,1.88192,2.34005,1.625,0.00514,1.97371,0.33264,0.17855,0.13419,0.06069,0.35892,0.17974,0.14673,0.07083,2.07037,2.72028,2.10649,0.00644,0,0.001,0.001,0.001
7,314.3,1.86772,2.33071,1.58431,0.00523,1.94689,0.4428,0.21085,0.18418,0.07629,0.45083,0.21428,0.18632,0.09068,2.1425,2.81586,2.21068,0.00699,0,0.001,0.001,0.001
8,357.346,1.87514,2.35084,1.59744,0.00508,1.86289,0.47383,0.19439,0.1702,0.07229,0.4992,0.2045,0.18905,0.09301,2.15442,2.78416,2.25545,0.00678,0,0.001,0.001,0.001
9,399.742,1.88301,2.3576,1.61219,0.00528,1.98662,0.40617,0.15757,0.12762,0.04758,0.40222,0.16012,0.14047,0.06201,2.09169,2.75226,2.11239,0.00675,0,0.001,0.001,0.001
10,442.046,1.84216,2.29448,1.55096,0.00502,1.80093,0.49837,0.22665,0.20488,0.09818,0.53254,0.22755,0.21662,0.1231,2.06814,2.65565,2.09592,0.00639,0,0.001,0.001,0.001
11,484.965,1.8373,2.27498,1.54244,0.00498,1.75251,0.50978,0.22705,0.21209,0.09135,0.5638,0.23715,0.23719,0.12163,2.09974,2.7309,2.02384,0.0065,0,0.001,0.001,0.001
12,527.602,1.82023,2.25346,1.52147,0.00501,1.73478,0.40269,0.19684,0.17302,0.07629,0.44009,0.21448,0.19755,0.10054,2.01311,2.67299,2.08438,0.00622,0,0.001,0.001,0.001
