epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,44.9037,2.1453,3.03575,2.32694,0.00716,2.40291,0.23828,0.12379,0.07213,0.02639,0.26169,0.13456,0.08138,0.02933,2.67138,3.61481,23.9427,0.01492,0,5.5e-05,5.5e-05,0.089055
2,57.2138,2.01396,2.76576,1.95841,0.00643,1.9467,0.09926,0.0723,0.02137,0.00904,0.10928,0.0807,0.02363,0.00915,2.82448,4.08247,31.6329,0.01578,0,0.000114547,0.000114547,0.0771145
3,68.9912,1.90184,2.54087,1.86672,0.00631,1.73875,0.26155,0.16286,0.10328,0.04222,0.28399,0.16852,0.11261,0.05439,2.18513,3.20066,3.94702,0.01132,0,0.000172251,0.000172251,0.0651723
4,81.9264,1.91497,2.48818,1.80667,0.00607,1.73279,0.39345,0.19755,0.16092,0.07509,0.40435,0.20303,0.16917,0.08527,1.95542,2.99435,2.17352,0.00968,0,0.00022675,0.00022675,0.0532267
5,95.0153,1.95975,2.5746,1.84798,0.00638,1.88849,0.3682,0.19481,0.14772,0.06486,0.38178,0.20066,0.15937,0.08121,2.05034,2.61141,2.37526,0.00996,0,0.000276757,0.000276757,0.0412768
6,107.089,1.90704,2.46161,1.75636,0.00598,1.64398,0.32456,0.195,0.13415,0.06597,0.33001,0.20668,0.14222,0.07633,1.92978,2.63991,5.07556,0.00916,0,0.000321104,0.000321104,0.0293211
7,119.373,1.91052,2.52202,1.83578,0.00612,1.78613,0.37306,0.22019,0.15822,0.08512,0.37889,0.23535,0.17134,0.09045,1.81858,2.4313,3.56726,0.0088,0,0.000358767,0.000358767,0.0173588
8,132.71,1.90103,2.50521,1.74869,0.00597,1.6508,0.54443,0.1981,0.18901,0.08802,0.5635,0.20504,0.20154,0.10713,1.99379,2.72167,1.95479,0.00964,0,0.000388897,0.000388897,0.0053889
9,145.559,1.8357,2.35011,1.66296,0.00573,1.59061,0.56185,0.20047,0.19942,0.09971,0.58677,0.20833,0.21194,0.11931,1.8717,2.43503,1.75937,0.0089,0,0.000383968,0.000383968,0.000383968
10,158.673,1.85725,2.47764,1.7025,0.00574,1.60097,0.55423,0.2222,0.21707,0.11721,0.57861,0.23078,0.231,0.13208,1.75398,2.10053,1.56476,0.00809,0,0.000356459,0.000356459,0.000356459
11,177.23,2.25917,2.53017,2.26713,0.00657,1.41001,0.54634,0.22293,0.21549,0.11455,0.56361,0.22896,0.22909,0.12817,1.81292,2.13862,1.58297,0.0084,0,0.000327272,0.000327272,0.000327272
12,189.524,2.2127,2.25535,2.09444,0.0062,1.32513,0.62056,0.19828,0.19683,0.10596,0.6407,0.2023,0.20671,0.11724,1.80193,2.21862,1.88736,0.00836,0,0.000296866,0.000296866,0.000296866
13,201.166,2.11802,2.18737,2.06016,0.00606,1.2808,0.58658,0.20194,0.195,0.10207,0.59828,0.20394,0.20363,0.10994,1.77439,2.11593,1.91055,0.00819,0,0.000265721,0.000265721,0.000265721
14,212.866,2.13967,2.171,2.0462,0.00601,1.30455,0.55694,0.21472,0.20149,0.10644,0.57327,0.21581,0.21148,0.11365,1.75468,2.11426,1.78851,0.00828,0,0.000234329,0.000234329,0.000234329
15,224.374,2.10759,2.1491,2.00291,0.00586,1.26648,0.56799,0.21179,0.201,0.10708,0.58765,0.21745,0.21269,0.11695,1.74139,2.10892,1.82507,0.00816,0,0.000203184,0.000203184,0.000203184
16,235.945,2.04451,2.12745,1.97767,0.00596,1.1785,0.58594,0.2076,0.2008,0.10566,0.60052,0.21106,0.21047,0.11609,1.76741,2.11174,1.88017,0.00832,0,0.000172778,0.000172778,0.000172778
17,247.58,2.08581,2.11698,1.97229,0.006,1.28827,0.57094,0.21636,0.20641,0.11044,0.58615,0.21929,0.21567,0.11998,1.75832,2.05813,1.86749,0.00826,0,0.000143591,0.000143591,0.000143591
18,259.18,2.05267,2.08768,1.94977,0.00587,1.26566,0.55863,0.22914,0.21424,0.11873,0.57243,0.2348,0.22558,0.13003,1.6968,1.99494,1.77336,0.00785,0,0.000116082,0.000116082,0.000116082
19,270.988,2.10846,2.11052,1.95634,0.00578,1.24052,0.5661,0.22844,0.215,0.12082,0.58555,0.23629,0.22838,0.13322,1.66845,1.97441,1.77902,0.0076,0,9.06849e-05,9.06849e-05,9.06849e-05
20,283.319,2.01651,2.06044,1.94383,0.00598,1.23686,0.56435,0.22494,0.21125,0.11848,0.58792,0.2334,0.22663,0.13286,1.68839,1.98862,1.82726,0.00768,0,6.78011e-05,6.78011e-05,6.78011e-05
21,295.241,2.03318,2.04854,1.93155,0.0058,1.24987,0.57496,0.22238,0.20864,0.1159,0.59242,0.22914,0.2238,0.1306,1.69878,1.99627,1.85432,0.00773,0,4.7791e-05,4.7791e-05,4.7791e-05
22,307.221,2.07444,2.05739,1.90745,0.00563,1.20792,0.57532,0.22092,0.20878,0.11541,0.59702,0.22668,0.2232,0.13037,1.70553,1.99554,1.84689,0.00784,0,3.09702e-05,3.09702e-05,3.09702e-05
23,318.671,2.03701,2.06402,1.91043,0.00573,1.16168,0.57084,0.22111,0.20923,0.11524,0.59093,0.2275,0.22341,0.13014,1.70497,1.99096,1.83669,0.00784,0,1.76041e-05,1.76041e-05,1.76041e-05
24,330.458,2.05527,2.05326,1.90919,0.00579,1.18432,0.56951,0.22184,0.21014,0.11542,0.58956,0.22804,0.22385,0.13,1.70659,1.98771,1.83445,0.00783,0,7.90342e-06,7.90342e-06,7.90342e-06
25,341.917,2.04495,2.06362,1.90886,0.00566,1.33794,0.5768,0.22048,0.21129,0.11581,0.59551,0.2264,0.22458,0.13042,1.70832,1.98944,1.83988,0.00783,0,2.02113e-06,2.02113e-06,2.02113e-06
